Replicate,Duration,Date,Dorm,Rail,total.source.aphids,ratio,PEMV titer,Btubulin titer,PEMV ct,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,aphid.total.in.row,Plant Number,Total Aphids,Total Maternal Aphids,Height,Height Count,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
2,7,8.23.2017,55,A,13,0.786885246,23.103,28.46,5.357,Present,Vetch,Present,Absent,No,48,5,6,0,Top,2,0,2,2,0,0,0,0,4,4,No
2,7,8.23.2017,55,B,13,0.901515152,27.5633,33.02,5.4567,Absent,Vetch,Present,Absent,No,119,5,2,0,Top,2,0,2,2,0,0,0,0,0,0,No
2,7,8.23.2017,56,A,18,0.885350318,20.7733,26.0233,5.25,Present,Vetch,Absent,Absent,No,139,5,9,4,Top,6,3,3,6,0,1,1,1,1,2,No
2,7,8.23.2017,56,B,18,0.886792453,19.8467,27.867,8.0203,Present,Vetch,Absent,Absent,No,141,5,14,3,Top,12,3,9,12,0,0,0,0,2,2,No
2,7,8.23.2017,57,A,21,0.817391304,23.8367,28.4567,4.62,Absent,Vetch,Present,Present,No,94,5,8,3,Top,7,2,5,7,1,0,1,0,0,0,Yes
2,7,8.23.2017,57,B,21,0.830645161,27.1567,31.8733,4.7166,Absent,Vetch,Present,Present,No,103,5,3,1,Top,1,0,1,1,0,1,1,1,0,1,Yes
2,7,8.23.2017,58,A,5,0.953271028,25.0867,30.9567,5.87,Absent,Vetch,Absent,Present,No,102,5,12,2,Top,0,0,0,0,1,0,1,1,10,11,No
2,7,8.23.2017,58,B,5,0.949494949,26.4967,31.833,5.3363,Absent,Vetch,Absent,Present,No,94,5,6,1,Top,0,0,0,0,1,0,1,0,5,5,No
2,7,8.23.2017,59,A,13,0.855555556,19.673,26.4467,6.7737,Present,Vetch,Present,Absent,No,77,5,14,3,Top,4,1,3,4,2,8,10,0,0,0,No
2,7,8.23.2017,59,B,13,0.880733945,25.9933,31.2167,5.2234,Absent,Vetch,Present,Absent,No,96,5,2,2,Top,0,0,0,0,2,0,2,0,0,0,No
2,7,8.23.2017,60,A,30,0.807692308,24.7,30.9133,6.2133,Absent,Vetch,Absent,Absent,No,126,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,60,B,30,0.8125,21.05,27.1967,6.1467,Present,Vetch,Absent,Absent,No,130,5,3,1,Top,2,1,1,2,0,1,1,0,0,0,No
2,7,8.23.2017,61,A,1,0.966666667,21.913,26.34,4.427,Present,Vetch,Present,Present,Yes,29,5,2,1,Top,0,0,0,0,1,1,2,0,0,0,Yes
2,7,8.23.2017,61,B,1,0.96875,21.703,26.88,5.177,Present,Vetch,Present,Present,Yes,31,5,2,2,Top,0,0,0,0,0,0,0,2,0,2,No
2,7,8.23.2017,62,A,7,0.885245902,24.6733,30.01,5.3367,Absent,Vetch,Absent,Present,No,54,5,16,9,Top,1,0,1,1,1,0,1,8,6,14,No
2,7,8.23.2017,62,B,7,0.854166667,19.1733,24.95,5.7767,Present,Vetch,Absent,Present,No,41,5,1,1,Top,0,0,0,0,1,0,1,0,0,0,No
2,7,8.23.2017,63,A,21,0.875739645,21.9733,27.4633,5.49,Present,Vetch,Present,Absent,Yes,148,5,16,7,Top,103,4,99,103,3,0,3,0,0,0,No
2,7,8.23.2017,63,B,21,0.843283582,21.71,26.62,4.91,Present,Vetch,Present,Absent,Yes,113,5,20,15,Top,0,0,0,0,15,5,20,0,0,0,No
2,7,8.23.2017,64,A,95,0.431137725,24.38,29.3233,4.9433,Absent,Vetch,Absent,Absent,No,72,5,4,1,Top,4,1,3,4,0,0,0,0,0,0,No
2,7,8.23.2017,64,B,95,0.173913043,29.776,28.4033,-1.3727,Absent,Vetch,Absent,Absent,No,20,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
